month,channel,campaign,customer_segment,supplier_region,marketing_spend,site_visits,discount_pct,orders,units,revenue,returns,damaged_returns,return_rate,customer_satisfaction
2024-01-01,Online,Always-on,New,North,42000.0,160000,8,3872,5498,509605.6,237,37,0.0614,4.42
2024-02-01,Store,Always-on,New,North,50342.4,181376,10,4625,6567,619155.72,309,58,0.067,4.43
2024-03-01,Marketplace,Spring,New,North,58114.7,199736,12,5352,7599,728036.18,452,99,0.0846,4.36
2024-04-01,Online,Spring,Returning,North,52260.0,211456,14,5941,8436,802240.4,464,74,0.0782,4.38
2024-05-01,Store,Summer,Returning,Central,56030.92,184941,16,3957,5618,575933.13,268,50,0.0678,4.34
2024-06-01,Marketplace,Summer,Returning,Central,53104.8,181376,18,4117,5846,538476.04,351,77,0.0854,4.33
2024-07-01,Online,Back-to-school,Loyal,Central,42900.0,172800,8,4872,6918,640416.6,338,54,0.0694,4.41
2024-08-01,Store,Back-to-school,Loyal,Central,43077.6,163072,10,4810,6830,643970.28,360,68,0.075,4.42
2024-09-01,Marketplace,Black Friday,Loyal,West,43825.3,135058,12,3079,4372,444183.02,235,51,0.0766,4.37
2024-10-01,Online,Black Friday,New,West,38040.0,136448,14,3288,4668,467989.2,230,36,0.0702,4.38
2024-11-01,Store,Holiday,New,West,50989.88,194247,21,4593,6522,582427.11,366,69,0.0798,4.28
2024-12-01,Marketplace,Holiday,New,West,58876.8,213248,23,5320,7554,686035.04,518,113,0.0974,4.27
2025-01-01,Online,Always-on,Returning,North,43800.0,160000,8,3872,5498,535627.6,237,37,0.0614,4.42
2025-02-01,Store,Always-on,Returning,North,52142.4,181376,10,4625,6567,649695.72,309,58,0.067,4.43
2025-03-01,Marketplace,Spring,Returning,North,59914.7,199736,12,5352,7599,762938.18,452,99,0.0846,4.36
2025-04-01,Online,Spring,Loyal,North,49560.0,211456,14,5941,8436,744586.4,464,74,0.0782,4.38
2025-05-01,Store,Summer,Loyal,Central,53330.92,184941,16,3957,5618,536135.13,268,50,0.0678,4.34
2025-06-01,Marketplace,Summer,Loyal,Central,54904.8,181376,18,4117,5846,565968.04,351,77,0.0854,4.33
2025-07-01,Online,Back-to-school,New,Central,44700.0,172800,8,4872,6918,672438.6,338,54,0.0694,4.41
2025-08-01,Store,Back-to-school,New,Central,44877.6,163072,10,4810,6830,675620.28,360,68,0.075,4.42
2025-09-01,Marketplace,Black Friday,New,West,41125.3,135058,12,3079,4372,412287.02,235,51,0.0766,4.37
2025-10-01,Online,Black Friday,Returning,West,35340.0,136448,14,3288,4668,434212.2,230,36,0.0702,4.38
2025-11-01,Store,Holiday,Returning,West,52789.88,194247,21,4593,6522,612775.11,366,69,0.0798,4.28
2025-12-01,Marketplace,Holiday,Returning,West,60676.8,213248,23,5320,7554,720745.04,518,113,0.0974,4.27
2026-01-01,Online,Always-on,Loyal,North,45600.0,160000,8,3872,5498,561649.6,237,37,0.0614,4.42
2026-02-01,Store,Always-on,Loyal,North,49442.4,181376,10,4625,6567,603885.72,309,58,0.067,4.43
2026-03-01,Marketplace,Spring,Loyal,North,57214.7,199736,12,5352,7599,710585.18,452,99,0.0846,4.36
2026-04-01,Online,Spring,New,North,51360.0,211456,14,5941,8436,783022.4,464,74,0.0782,4.38
2026-05-01,Store,Summer,New,Central,55130.92,184941,16,3957,5618,562667.13,268,50,0.0678,4.34
2026-06-01,Marketplace,Summer,New,Central,56704.8,181376,18,4117,5846,593460.04,351,77,0.0854,4.33
2026-07-01,Online,Back-to-school,Returning,Central,42000.0,172800,8,4872,6918,624405.6,338,54,0.0694,4.41
2026-08-01,Store,Back-to-school,Returning,Central,42177.6,163072,10,4810,6830,628145.28,360,68,0.075,4.42
2026-09-01,Marketplace,Black Friday,Returning,West,42925.3,135058,12,3079,4372,433551.02,235,51,0.0766,4.37
2026-10-01,Online,Black Friday,Loyal,West,37140.0,136448,14,3288,4668,456730.2,230,36,0.0702,4.38
2026-11-01,Store,Holiday,Loyal,West,54589.88,194247,21,4593,6522,643123.11,366,69,0.0798,4.28
2026-12-01,Marketplace,Holiday,Loyal,West,57976.8,213248,23,5320,7554,668680.04,518,113,0.0974,4.27
2027-01-01,Online,Always-on,New,North,42900.0,160000,8,3872,5498,522616.6,237,37,0.0614,4.42
2027-02-01,Store,Always-on,New,North,51242.4,181376,10,4625,6567,634425.72,309,58,0.067,4.43
2027-03-01,Marketplace,Spring,New,North,59014.7,199736,12,5352,7599,745487.18,452,99,0.0846,4.36
2027-04-01,Online,Spring,Returning,North,53160.0,211456,14,5941,8436,821458.4,464,74,0.0782,4.38
2027-05-01,Store,Summer,Returning,Central,52430.92,184941,16,3957,5618,522869.13,268,50,0.0678,4.34
2027-06-01,Marketplace,Summer,Returning,Central,54004.8,181376,18,4117,5846,552222.04,351,77,0.0854,4.33
2027-07-01,Online,Back-to-school,Loyal,Central,43800.0,172800,8,4872,6918,656427.6,338,54,0.0694,4.41
2027-08-01,Store,Back-to-school,Loyal,Central,43977.6,163072,10,4810,6830,659795.28,360,68,0.075,4.42
2027-09-01,Marketplace,Black Friday,Loyal,West,44725.3,135058,12,3079,4372,454815.02,235,51,0.0766,4.37
2027-10-01,Online,Black Friday,New,West,34440.0,136448,14,3288,4668,422953.2,230,36,0.0702,4.38
2027-11-01,Store,Holiday,New,West,51889.88,194247,21,4593,6522,597601.11,366,69,0.0798,4.28
2027-12-01,Marketplace,Holiday,New,West,59776.8,213248,23,5320,7554,703390.04,518,113,0.0974,4.27
